"Attributes (Description/Format)",,"Total",
,,"#","%"
"ADAMS (1)","ADAMS (1)",6,1
"BENTON (5)","BENTON (5)",17,3
"CHELAN (7)","CHELAN (7)",5,1
"CLALLAM (9)","CLALLAM (9)",8,1
"CLARK (11)","CLARK (11)",31,5
"COWLITZ (15)","COWLITZ (15)",13,2
"DOUGLAS (17)","DOUGLAS (17)",4,1
"FERRY (19)","FERRY (19)",4,1
"FRANKLIN (21)","FRANKLIN (21)",8,1
"GARFIELD (23)","GARFIELD (23)",2,0
"GRANT (25)","GRANT (25)",20,3
"GRAYS HARBOR (27)","GRAYS HARBOR (27)",10,2
"ISLAND (29)","ISLAND (29)",5,1
"JEFFERSON (31)","JEFFERSON (31)",4,1
"KING (33)","KING (33)",126,21
"KITSAP (35)","KITSAP (35)",15,2
"KITTITAS (37)","KITTITAS (37)",3,0
"LEWIS (41)","LEWIS (41)",7,1
"LINCOLN (43)","LINCOLN (43)",3,0
"MASON (45)","MASON (45)",9,1
"OKANOGAN (47)","OKANOGAN (47)",6,1
"PACIFIC (49)","PACIFIC (49)",1,0
"PEND OREILLE (51)","PEND OREILLE (51)",3,0
"PIERCE (53)","PIERCE (53)",92,15
"SAN JUAN (55)","SAN JUAN (55)",3,0
"SKAGIT (57)","SKAGIT (57)",13,2
"SKAMANIA (59)","SKAMANIA (59)",3,0
"SNOHOMISH (61)","SNOHOMISH (61)",32,5

"SPOKANE (63)","SPOKANE (63)",56,9
"STEVENS (65)","STEVENS (65)",3,0
"THURSTON (67)","THURSTON (67)",21,3
"WALLA WALLA (71)","WALLA WALLA (71)",4,1
"WHATCOM (73)","WHATCOM (73)",15,2
"WHITMAN (75)","WHITMAN (75)",3,0
"YAKIMA (77)","YAKIMA (77)",48,8
"Total",,603,100


